CellID,Date,File,FileREbefore,FileREafter
3024,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3092,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3093,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3094,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3162,2012-03-11,MCD14A1.A2012071.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2474,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742317_2012-11-10_RE4_3A_627058.tif
2475,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742317_2012-11-10_RE4_3A_627058.tif
2476,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742317_2012-11-10_RE4_3A_627058.tif
2544,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2545,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2546,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2547,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742317_2011-12-07_RE3_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2810,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2811,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2812,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2813,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2814,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2817,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2878,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2879,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2880,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2881,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2882,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2883,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2884,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2885,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2886,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2887,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2948,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2949,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2950,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2951,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2952,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2953,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2954,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
2955,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3382,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3383,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3384,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3452,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3453,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3454,2012-03-12,MCD14A1.A2012072.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3091,2012-03-13,MCD14A1.A2012073.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3092,2012-03-13,MCD14A1.A2012073.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
3314,2012-03-13,MCD14A1.A2012073.FireMask.tif,3742217_2011-11-20_RE1_3A_627058.tif,3742217_2012-11-10_RE4_3A_627058.tif
